"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
"1","0","0","0","0","0","0","0","20260209","20260812"
"2","0","0","0","0","0","0","0","20260209","20260812"
"3","0","0","0","0","0","0","0","20260209","20260812"
"4","0","0","0","0","0","0","0","20260209","20260812"
"5","0","0","0","0","0","0","0","20260209","20260812"
"6","0","0","0","0","0","0","0","20260209","20260812"
"7","0","0","0","0","0","0","0","20260209","20260812"
"8","0","0","0","0","0","0","0","20260209","20260812"
"9","0","0","0","0","0","0","0","20260209","20260812"
"10","0","0","0","0","0","0","0","20260209","20260812"
"11","0","0","0","0","0","0","0","20260209","20260812"
"12","0","0","0","0","0","0","0","20260209","20260812"
"13","0","0","0","0","0","0","0","20260209","20260812"
"14","0","0","0","0","0","0","0","20260209","20260812"
"15","0","0","0","0","0","0","0","20260209","20260812"
"16","0","0","0","0","0","0","0","20260209","20260812"
"17","0","0","0","0","0","0","0","20260209","20260812"
"18","0","0","0","0","0","0","0","20260209","20260812"
"19","0","0","0","0","0","0","0","20260209","20260812"
"20","0","0","0","0","0","0","0","20260209","20260812"
"21","0","0","0","0","0","0","0","20260209","20260812"
"22","0","0","0","0","0","0","0","20260209","20260812"
"23","0","0","0","0","0","0","0","20260209","20260812"
"24","0","0","0","0","0","0","0","20260209","20260812"
"25","0","0","0","0","0","0","0","20260209","20260812"
"26","0","0","0","0","0","0","0","20260209","20260812"
"27","0","0","0","0","0","0","0","20260209","20260812"
"28","0","0","0","0","0","0","0","20260209","20260812"
"29","0","0","0","0","0","0","0","20260209","20260812"
"30","0","0","0","0","0","0","0","20260209","20260812"
"31","0","0","0","0","0","0","0","20260209","20260812"
"32","0","0","0","0","0","0","0","20260209","20260812"
"33","0","0","0","0","0","0","0","20260209","20260812"
"34","0","0","0","0","0","0","0","20260209","20260812"
"35","0","0","0","0","0","0","0","20260209","20260812"
"36","0","0","0","0","0","0","0","20260209","20260812"
"37","0","0","0","0","0","0","0","20260209","20260812"
"38","0","0","0","0","0","0","0","20260209","20260812"
